date,silver_spot
2013-07-13,19.7769163832
2013-07-14,19.7808284211
2013-07-15,19.8485527814
2013-07-16,19.9433542196
2013-07-17,19.3545824865
2013-07-18,19.3627951733
2013-07-19,19.4507798117
2013-07-20,19.4461729932
2013-07-21,19.4461729932
2013-07-22,19.6138281388
2013-07-23,20.3150518507
2013-07-24,20.0571719029
2013-07-25,20.1666497697
2013-07-26,19.8251012016
2013-07-27,19.7671430548
2013-07-28,19.7671430548
2013-07-29,19.840540809
2013-07-30,19.6794006312
2013-07-31,19.6763824712
2013-08-01,19.6021389171
2013-08-02,19.8997640551
2013-08-03,19.8996460848
2013-08-04,19.8854913864
2013-08-05,19.7100038715
2013-08-06,19.5097914828
2013-08-07,19.5400602804
2013-08-08,20.2155693307
2013-08-09,20.4919340072
2013-08-10,20.4729538972
2013-08-11,20.5781577466
2013-08-12,21.3595514717
2013-08-13,21.3934973713
2013-08-14,21.8340604668
2013-08-15,22.2760168279
2013-08-16,23.2577451981
2013-08-17,23.286725728
2013-08-18,23.3030432609
2013-08-19,23.1784526953
2013-08-20,23.0725051033
2013-08-21,22.9661578052
2013-08-22,23.1547048744
2013-08-23,23.7774575596
2013-08-24,23.6921152759
2013-08-25,23.7106560193
2013-08-26,23.978762214
2013-08-27,24.2474879056
2013-08-28,24.3603392398
2013-08-29,23.7657004169
2013-08-30,23.4361128841
2013-08-31,23.4241875584
2013-09-01,23.3121480303
2013-09-02,23.7883695021
2013-09-03,24.0378059611
2013-09-04,23.3936704887
2013-09-05,23.1852419813
2013-09-06,23.7128453857
2013-09-07,23.6596287946
2013-09-08,23.6939846067
2013-09-09,23.5986814128
2013-09-10,23.0347660749
2013-09-11,23.1840256212
2013-09-12,22.1870860832
2013-09-13,22.0272751193
2013-09-14,21.9419166747
2013-09-15,21.9935116941
2013-09-16,21.8056313993
2013-09-17,21.7184332
2013-09-18,21.9462835586
2013-09-19,21.9983887844
2013-09-20,21.8161983228
2013-09-21,21.8293211223
2013-09-22,21.8417176589
2013-09-23,21.6871933319
2013-09-24,21.6444389545
2013-09-25,21.8017882221
2013-09-26,21.6927681705
2013-09-27,21.7676921521
2013-09-28,21.7865873054
2013-09-29,21.8159986317
2013-09-30,21.6671686043
2013-10-01,21.1319938185
2013-10-02,21.7608640649
2013-10-03,21.6613734868
2013-10-04,21.7134331674
2013-10-05,21.7201559898
2013-10-06,21.7656679889
2013-10-07,22.3218605011
2013-10-08,22.5219408368
2013-10-09,21.876244221
2013-10-10,21.7228809312
2013-10-11,21.2473630301
2013-10-12,21.2761611678
2013-10-13,21.278060309
2013-10-14,21.2855562801
2013-10-15,21.2304258128
2013-10-16,21.3437732063
2013-10-17,21.868202622
2013-10-18,21.892421947
2013-10-19,21.8986382113
2013-10-20,21.8741175161
2013-10-21,22.2038761051
2013-10-22,22.8158831401
2013-10-23,22.6888020905
2013-10-24,22.8378395922
2013-10-25,22.7102635387
2013-10-26,22.8066060247
2013-10-27,22.8322126903
2013-10-28,22.6593114746
2013-10-29,22.6656130978
2013-10-30,22.8547204644
2013-10-31,21.8680042267
2013-11-01,21.8321008096
2013-11-02,21.8431680195
2013-11-03,21.8375155633
2013-11-04,21.6550978261
2013-11-05,21.6707715164
2013-11-06,21.7884956452
2013-11-07,21.6387852617
2013-11-08,21.4252317766
2013-11-09,21.4078898778
2013-11-10,21.4069366609
2013-11-11,21.321381933
2013-11-12,20.7274851566
2013-11-13,20.5436616697
2013-11-14,20.7460877195
2013-11-15,20.7604932915
2013-11-16,20.760739946
2013-11-17,20.7577362526
2013-11-18,20.3826763689
2013-11-19,20.3170711344
2013-11-20,19.9134102816
2013-11-21,19.9411121393
2013-11-22,19.8625015324
2013-11-23,19.863752535
2013-11-24,19.8585889738
2013-11-25,20.1448747212
2013-11-26,19.8366933023
2013-11-27,19.6309130597
2013-11-28,19.6867443112
2013-11-29,19.9758367906
2013-11-30,19.9887802976
2013-12-01,19.9844101616
2013-12-02,19.1760124571
2013-12-03,19.0923271889
2013-12-04,19.7091804165
2013-12-05,19.4082605826
2013-12-06,19.4782919406
2013-12-07,19.4874508125
2013-12-08,19.4817105215
2013-12-09,19.7709801095
2013-12-10,20.3367151086
2013-12-11,20.2836765306
2013-12-12,19.440639439
2013-12-13,19.6362328637
2013-12-14,19.6293565271
2013-12-15,19.6275245413
2013-12-16,19.9946572471
2013-12-17,19.8684106788
2013-12-18,19.8147441436
2013-12-19,19.209447732
2013-12-20,19.399313686
2013-12-21,19.4140038257
2013-12-22,19.4163861484
2013-12-23,19.4237096815
2013-12-24,19.4530751627
2013-12-25,19.4761776484
2013-12-26,19.8054224003
2013-12-27,20.0399981889
2013-12-28,20.0450010273
2013-12-29,20.0464275262
2013-12-30,19.5660938068
2013-12-31,19.2755199282
2014-01-01,19.3647187861
2014-01-02,20.0354788259
2014-01-03,20.1524479939
2014-01-04,20.1687112698
2014-01-05,20.1747415061
2014-01-06,20.1321066742
2014-01-07,19.8288378326
2014-01-08,19.5195273199
2014-01-09,19.5863976101
2014-01-10,20.1549953775
2014-01-11,20.1775686575
2014-01-12,20.1762821952
2014-01-13,20.3637924815
2014-01-14,20.2358030617
2014-01-15,20.1441267997
2014-01-16,20.0581778461
2014-01-17,20.2781771755
2014-01-18,20.2872780001
2014-01-19,20.2827208459
2014-01-20,20.2833240201
2014-01-21,19.8507233868
2014-01-22,19.781792689
2014-01-23,20.0052530452
2014-01-24,19.8503774792
2014-01-25,19.8455697147
2014-01-26,19.8301940484
2014-01-27,19.7146201849
2014-01-28,19.5037600627
2014-01-29,19.6764004365
2014-01-30,19.1370058371
2014-01-31,19.1317280834
2014-02-01,19.1476316869
2014-02-02,19.1424525808
2014-02-03,19.3544731694
2014-02-04,19.4582559823
2014-02-05,19.8516083907
2014-02-06,19.9183000182
2014-02-07,19.9746375302
2014-02-08,19.9719573747
2014-02-09,19.9685216225
2014-02-10,20.0653941453
2014-02-11,20.2048070612
2014-02-12,20.2635193254
2014-02-13,20.4323908684
2014-02-14,21.4592178802
2014-02-15,21.4588268416
2014-02-16,21.4422738073
2014-02-17,21.6193559307
2014-02-18,21.9202858525
2014-02-19,21.6333431537
2014-02-20,21.7682431518
2014-02-21,21.793641816
2014-02-22,21.7854719223
2014-02-23,21.8183809605
2014-02-24,21.9914052191
2014-02-25,21.8819906247
2014-02-26,21.2342188851
2014-02-27,21.2849740815
2014-02-28,21.2071203563
2014-03-01,21.2156909128
2014-03-02,21.2192383376
2014-03-03,21.4302573479
2014-03-04,21.1619281578
2014-03-05,21.1929273891
2014-03-06,21.4906824105
2014-03-07,20.9103641876
2014-03-08,20.9205611773
2014-03-09,20.8950979369
2014-03-10,20.8378911768
2014-03-11,20.8277735221
2014-03-12,21.2942111491
2014-03-13,21.1693771033
2014-03-14,21.4108981018
2014-03-15,21.396376759
2014-03-16,21.4689483865
2014-03-17,21.1896914597
2014-03-18,20.8214181395
2014-03-19,20.6578149991
2014-03-20,20.3161705155
2014-03-21,20.2921485574
2014-03-22,20.3082611265
2014-03-23,20.2769979864
2014-03-24,19.9490659299
2014-03-25,19.9538980865
2014-03-26,19.7447467418
2014-03-27,19.6901389225
2014-03-28,19.7950252285
2014-03-29,19.8075361138
2014-03-30,19.8050391942
2014-03-31,19.7392254643
2014-04-01,19.7226053271
2014-04-02,19.990844013
2014-04-03,19.8060968599
2014-04-04,19.9268378358
2014-04-05,19.945307971
2014-04-06,19.9000500088
2014-04-07,19.8661673545
2014-04-08,20.029564638
2014-04-09,19.8381086343
2014-04-10,20.0368089538
2014-04-11,19.9601205729
2014-04-12,19.9651847109
2014-04-13,20.0051513265
2014-04-14,19.9692389566
2014-04-15,19.5355360741
2014-04-16,19.627353989
2014-04-17,19.60525444
2014-04-18,19.5998568654
2014-04-19,19.6048140013
2014-04-20,19.584056189
2014-04-21,19.3894337426
2014-04-22,19.3802465177
2014-04-23,19.4317682336
2014-04-24,19.6592040074
2014-04-25,19.6769464361
2014-04-26,19.7105913581
2014-04-27,19.7130042845
2014-04-28,19.5777631995
2014-04-29,19.4761008957
2014-04-30,19.1392182822
2014-05-01,19.0095397474
2014-05-02,19.481130295
2014-05-03,19.4917126598
2014-05-04,19.532098807
2014-05-05,19.5452832831
2014-05-06,19.5754721901
2014-05-07,19.3083266322
2014-05-08,19.1404685105
2014-05-09,19.1155269946
2014-05-10,19.1232999625
2014-05-11,19.1157274743
2014-05-12,19.514705534
2014-05-13,19.5121669155
2014-05-14,19.7451741598
2014-05-15,19.4785537328
2014-05-16,19.3078073874
2014-05-17,19.3318001927
2014-05-18,19.3117262153
2014-05-19,19.3429116995
2014-05-20,19.380699745
2014-05-21,19.3671628221
2014-05-22,19.4848591054
2014-05-23,19.4154359446
2014-05-24,19.423163132
2014-05-25,19.3656716165
2014-05-26,19.4051541771
2014-05-27,19.0585304108
2014-05-28,19.0352823064
2014-05-29,18.9968887868
2014-05-30,18.7173253315
2014-05-31,18.7360439892
2014-06-01,18.7289644465
2014-06-02,18.7273136905
2014-06-03,18.76607384
2014-06-04,18.7825520349
2014-06-05,19.0389422525
2014-06-06,18.9869953361
2014-06-07,18.9955044289
2014-06-08,18.9954557171
2014-06-09,19.0506943085
2014-06-10,19.1598317677
2014-06-11,19.1673346945
2014-06-12,19.5132163754
2014-06-13,19.6496236836
2014-06-14,19.6644690967
2014-06-15,19.6889907335
2014-06-16,19.662256419
2014-06-17,19.7205581625
2014-06-18,19.8448795526
2014-06-19,20.7257295563
2014-06-20,20.8876425536
2014-06-21,20.9064908068
2014-06-22,20.8841819655
2014-06-23,20.8734391492
2014-06-24,20.941047622
2014-06-25,21.0386659905
2014-06-26,21.0753695745
2014-06-27,21.0182865667
2014-06-28,21.0224323017
2014-06-29,21.018557179
2014-06-30,20.9971148903
2014-07-01,21.0523386671
2014-07-02,21.1693516755
2014-07-03,21.1071566392
2014-07-04,21.1296760616
2014-07-05,21.1295140962
2014-07-06,21.1127384341
2014-07-07,21.0197556323
2014-07-08,21.000615248
2014-07-09,21.0668005558
2014-07-10,21.4217427677
2014-07-11,21.4164576469
2014-07-12,21.42971103
2014-07-13,21.4283977055
2014-07-14,20.8868354982
2014-07-15,20.7356912498
2014-07-16,20.7157865424
2014-07-17,21.1084184156
2014-07-18,20.8371892151
2014-07-19,20.8733209631
2014-07-20,20.8729528069
2014-07-21,20.9235043144
2014-07-22,20.9378685053
2014-07-23,20.9130340063
2014-07-24,20.3531945277
2014-07-25,20.6652454326
2014-07-26,20.6628433519
2014-07-27,20.6367915402
2014-07-28,20.5650473077
2014-07-29,20.5432493184
2014-07-30,20.5891721087
2014-07-31,20.3651555009
2014-08-01,20.3134618104
2014-08-02,20.3302341586
2014-08-03,20.3244163005
2014-08-04,20.172833494
2014-08-05,19.7535947618
2014-08-06,20.0136903657
2014-08-07,19.9414748189
2014-08-08,19.9023673347
2014-08-09,19.8985531961
2014-08-10,19.9024600336
2014-08-11,20.0268503329
2014-08-12,19.884407465
2014-08-13,19.823942669
2014-08-14,19.8427395432
2014-08-15,19.5489978082
2014-08-16,19.5285610087
2014-08-17,19.5157041408
2014-08-18,19.6216225116
2014-08-19,19.4249346627
2014-08-20,19.4717203178
2014-08-21,19.4152684023
2014-08-22,19.3966200614
2014-08-23,19.3949305337
2014-08-24,19.3949305337
2014-08-25,19.3487609306
2014-08-26,19.3607733276
2014-08-27,19.425357033
2014-08-28,19.530626299
2014-08-29,19.430941067
2014-08-30,19.4314116347
2014-08-31,19.4302978383
2014-09-01,19.4398344634
2014-09-02,19.1241678165
2014-09-03,19.1439189992
2014-09-04,19.0358036817
2014-09-05,19.1393916442
2014-09-06,19.1390874808
2014-09-07,19.1420934827
2014-09-08,18.9706237313
2014-09-09,18.9699629494
2014-09-10,18.907583731
2014-09-11,18.618993426
2014-09-12,18.5848036095
2014-09-13,18.5922142686
2014-09-14,18.5694900493
2014-09-15,18.5974144704
2014-09-16,18.6895048961
2014-09-17,18.5411958143
2014-09-18,18.4888847564
2014-09-19,17.7910621603
2014-09-20,17.8066340218
2014-09-21,17.8014798548
2014-09-22,17.7196756029
2014-09-23,17.7458588095
2014-09-24,17.6665123768
2014-09-25,17.452610196
2014-09-26,17.5778283303
2014-09-27,17.561786536
2014-09-28,17.5293779227
2014-09-29,17.491287731
2014-09-30,16.9882988412
2014-10-01,17.1786370854
2014-10-02,17.0515954069
2014-10-03,16.8076586898
2014-10-04,16.8114906539
2014-10-05,16.7793920205
2014-10-06,17.270480075
2014-10-07,17.186125209
2014-10-08,17.2396081017
2014-10-09,17.3475294203
2014-10-10,17.3286352756
2014-10-11,17.322958498
2014-10-12,17.3596614588
2014-10-13,17.4134512033
2014-10-14,17.3750472176
2014-10-15,17.4246926481
2014-10-16,17.3648463062
2014-10-17,17.2598358995
2014-10-18,17.2747926312
2014-10-19,17.2983400599
2014-10-20,17.3666417725
2014-10-21,17.5110027467
2014-10-22,17.1485428017
2014-10-23,17.1270808601
2014-10-24,17.1568663448
2014-10-25,17.1703311444
2014-10-26,17.1479481237
2014-10-27,17.1068770433
2014-10-28,17.1831818583
2014-10-29,17.1226068708
2014-10-30,16.445596748
2014-10-31,16.1251952722
2014-11-01,16.1178030886
2014-11-02,16.1251713199
2014-11-03,16.1449170831
2014-11-04,15.9804563766
2014-11-05,15.3592637713
2014-11-06,15.3961871021
2014-11-07,15.7354050476
2014-11-08,15.5872338373
2014-11-09,15.5962857757
2014-11-10,15.6122885245
2014-11-11,15.6846449302
2014-11-12,15.6462318917
2014-11-13,15.625606786
2014-11-14,16.2920743153
2014-11-15,16.3081589719
2014-11-16,16.3143434647
2014-11-17,16.1008513325
2014-11-18,16.1774665388
2014-11-19,16.1763235449
2014-11-20,16.2074386937
2014-11-21,16.4069857657
2014-11-22,16.4154918578
2014-11-23,16.4170980464
2014-11-24,16.4260611296
2014-11-25,16.6334404398
2014-11-26,16.5152462498
2014-11-27,16.3332919622
2014-11-28,15.4501201964
2014-11-29,15.470258737
2014-11-30,15.4743487524
2014-12-01,15.7884034108
2014-12-02,15.7914839674
2014-12-03,15.7791464247
2014-12-04,15.7853203036
2014-12-05,15.7356411004
2014-12-06,15.4904821056
2014-12-07,15.4904821056
2014-12-08,16.3051305485
2014-12-09,17.0699240867
2014-12-10,17.0775684867
2014-12-11,17.0763190833
2014-12-12,17.0109951911
2014-12-13,17.0265352593
2014-12-14,17.0364092769
