date,signal,holding_days,today_price,future_price,forward_return_pct,asset
2021-04-28,BUY,10,1773.199951171875,1822.5999755859375,2.7859252072173213,gold
2021-05-19,SELL,10,1881.300048828125,1871.199951171875,0.5368679845908376,gold
2021-06-16,SELL,10,1859.5,1770.800048828125,4.770096863236085,gold
2021-07-28,BUY,10,1799.5,1750.4000244140625,-2.7285343476486523,gold
2021-08-09,BUY,10,1723.4000244140625,1803.199951171875,4.630377487951099,gold
2021-09-17,BUY,10,1749.4000244140625,1757.0,0.43443326168255925,gold
2021-09-22,SELL,10,1776.699951171875,1760.5,0.9118000572460107,gold
2021-09-29,BUY,10,1721.5,1793.699951171875,4.194014009403137,gold
2021-11-03,BUY,10,1763.5999755859375,1869.699951171875,6.016102123764597,gold
2021-11-29,BUY,10,1782.300048828125,1786.300048828125,0.22442910230687751,gold
2021-12-02,BUY,10,1760.699951171875,1796.5999755859375,2.03896321972227,gold
2022-02-11,BUY,10,1840.800048828125,1899.4000244140625,3.1833971116658177,gold
2022-03-08,SELL,10,2040.0999755859375,1920.699951171875,5.85265554840123,gold
2022-03-16,BUY,10,1908.0,1933.5,1.3364779874213837,gold
2022-04-29,SELL,10,1909.300048828125,1807.4000244140625,5.337035657470699,gold
2022-05-04,BUY,10,1867.0,1815.9000244140625,-2.7370099403287362,gold
2022-06-15,BUY,10,1815.300048828125,1804.0999755859375,-0.6169819281070232,gold
2022-07-27,BUY,10,1719.0999755859375,1795.5999755859375,4.450002971696033,gold
2022-08-02,SELL,10,1771.0999755859375,1773.199951171875,-0.11856900315538425,gold
2022-09-19,BUY,10,1666.199951171875,1692.9000244140625,1.6024531283540582,gold
2022-09-26,BUY,10,1623.300048828125,1667.300048828125,2.7105278553871783,gold
2022-10-11,SELL,10,1678.699951171875,1652.800048828125,1.5428547743549805,gold
2022-11-02,SELL,10,1645.699951171875,1773.0,-7.735313398865741,gold
2022-12-01,SELL,10,1801.0999755859375,1777.199951171875,1.3269682270850787,gold
2023-01-19,BUY,10,1922.0999755859375,1916.300048828125,-0.30174948397491325,gold
2023-01-31,SELL,10,1929.5,1854.0,3.912930811090956,gold
2023-02-01,BUY,10,1927.800048828125,1834.199951171875,-4.855280386217845,gold
2023-03-17,BUY,10,1969.800048828125,1969.0,-0.040615738059351036,gold
2023-03-22,BUY,10,1946.800048828125,2020.9000244140625,3.8062447979977163,gold
2023-04-13,SELL,10,2041.300048828125,1989.9000244140625,2.5180043690083855,gold
2023-04-14,BUY,10,2002.199951171875,1990.0999755859375,-0.6043340266218397,gold
2023-05-02,SELL,10,2014.300048828125,1988.4000244140625,1.2858076645100893,gold
2023-07-27,BUY,10,1945.4000244140625,1914.4000244140625,-1.5935026015709508,gold
2023-08-29,SELL,10,1936.5,1909.0999755859375,1.414925092386393,gold
2023-09-27,BUY,10,1871.5999755859375,1872.800048828125,0.0641201783416243,gold
2023-10-13,SELL,10,1927.4000244140625,1988.5999755859375,-3.175259437411289,gold
2023-11-10,BUY,10,1932.5999755859375,2011.800048828125,4.098110019802475,gold
2023-11-16,SELL,10,1983.9000244140625,2071.0,-4.390340970516504,gold
2023-12-04,BUY,10,2024.0999755859375,2026.300048828125,0.10869390191809185,gold
2024-02-13,BUY,10,1992.9000244140625,2033.0,2.012141858331674,gold
2024-03-01,SELL,10,2086.89990234375,2157.300048828125,-3.3734318740113114,gold
