date,gold_futures,silver_futures,gold_spot,silver_spot,gold_premium_pct,silver_premium_pct,gold_signal,silver_signal,gold_mean_20,gold_std_20,silver_mean_20,silver_std_20,gold_zscore,silver_zscore,gold_signal_z,silver_signal_z
2022-04-25,1893.199951171875,23.667999267578125,1898.7978710678,23.6670000085,-0.29481389152690934,0.004222161988277338,HOLD,HOLD,0.022833761940226963,0.34970016695980943,0.5916861184748349,0.5658930720847584,-0.9083428704900879,-1.0381183044392677,HOLD,HOLD
2022-04-26,1901.4000244140625,23.54199981689453,1900.3299732966,23.6860000223,0.05630870072560365,-0.607954932322447,HOLD,HOLD,-0.01797117333868361,0.28741664861585137,0.5056635300160236,0.6114848857069813,0.2584397056399002,-1.8211708717067254,HOLD,HOLD
2022-04-27,1885.9000244140625,23.45800018310547,1884.7299182027,23.3180000228,0.062083495362472686,0.600395231874856,HOLD,HOLD,0.00041038142955424664,0.2797093591027809,0.5420476550006512,0.593217490752285,0.22048999050566728,0.0983578161193657,HOLD,HOLD
2022-04-28,1888.699951171875,23.128999710083008,1894.0498801824,23.1549999914,-0.2824597739743736,-0.1122879780896108,HOLD,HOLD,-0.017336050269058247,0.28608368020821706,0.48308744341777754,0.5968943651287266,-0.9267348753076489,-0.9974552555526124,HOLD,HOLD
2022-04-29,1909.300048828125,23.040000915527344,1896.960159284,22.7399999952,0.6505086300169168,1.3192652611726776,HOLD,SELL,-0.018407029874827913,0.2833950106698793,0.48004059949196265,0.5922111856072038,2.360364984233791,1.4171036989452408,SELL,HOLD
2022-05-02,1861.800048828125,22.54400062561035,1862.3999332516,22.6060000144,-0.0322102902155759,-0.2742607659477757,HOLD,HOLD,-0.004369250376688292,0.2748613371002457,0.45779093601978005,0.6124569063237938,-0.10129121881093665,-1.1952705478686112,HOLD,HOLD
2022-05-03,1868.800048828125,22.621000289916992,1868.8549712477,22.5800000143,-0.002938827272310088,0.18157783698416874,HOLD,HOLD,0.0029882810200560607,0.27271648481117305,0.4556076033889604,0.6134066337173102,-0.021733590092546246,-0.4467342727354313,HOLD,HOLD
2022-05-04,1867.0,22.36199951171875,1887.2400491966,22.9556999937,-1.0724681900013844,-2.5862878594169967,BUY,BUY,-0.05323644879540279,0.36303463798355895,0.2793796521523976,0.9046117033863631,-2.8075330411092625,-3.1678426233509125,BUY,BUY
2022-05-05,1874.0,22.399999618530277,1876.850104991,22.5072499847,-0.151855760000277,-0.47651475076977134,HOLD,HOLD,-0.0560906307664341,0.3636023311081765,0.22200379114104657,0.9147991575079362,-0.26337875486653994,-0.7635758474173694,HOLD,HOLD
2022-05-06,1881.199951171875,22.325000762939453,1873.8399759399,22.4292999867,0.392775014220914,-0.46501328094230365,HOLD,HOLD,-0.04017787749857216,0.3763595270179285,0.1764163312606261,0.9256638036989955,1.1503704852378074,-0.6929401469947807,HOLD,HOLD
2022-05-09,1857.0999755859373,21.78199958801269,1854.5949351383,21.7950000221,0.1350721065918677,-0.05964869958305865,HOLD,HOLD,-0.019249141476354256,0.3737455345790812,0.16536249662089722,0.9271709765505486,0.4129045936081116,-0.24268576335412118,HOLD,HOLD
2022-05-10,1839.9000244140625,21.38999938964844,1838.3998714591,21.3070000177,0.08160101500506627,0.38954039460972506,HOLD,HOLD,0.007333346471749916,0.3601519161185112,0.20457859069308335,0.9187809653201144,0.20621205999325545,0.20131218527388492,HOLD,HOLD
2022-05-11,1852.5999755859373,21.549999237060547,1853.3599376975,21.5621000156,-0.041004561289208055,-0.056120593683810865,HOLD,HOLD,-0.011761898633143848,0.35155711498959136,0.13380558675766757,0.878794801579907,-0.0831804034372338,-0.21612119245588055,HOLD,HOLD
2022-05-12,1823.800048828125,20.756999969482425,1820.7000118163,20.7863499898,0.17026621583488688,-0.14119852851500286,HOLD,HOLD,-0.008959238341435813,0.3528353690688851,0.06696943547375117,0.8439370317845336,0.5079577329486262,-0.24666290984835182,HOLD,HOLD
2022-05-13,1807.4000244140625,20.983999252319336,1811.4501401066,21.1019999967,-0.22358416623596017,-0.559192230116177,HOLD,HOLD,-0.021635267957979626,0.35590511065957964,0.02925932498085489,0.8546962390703392,-0.5674234289688046,-0.6884920375186113,HOLD,HOLD
2022-05-16,1813.5,21.53499984741211,1827.4650081569,21.6030000224,-0.7641737650005402,-0.31477190629718815,HOLD,HOLD,-0.07567879846436452,0.38286875895782685,-0.04844661596582245,0.8082759043553354,-1.7982531884039505,-0.329497995543714,HOLD,HOLD
2022-05-17,1818.199951171875,21.73699951171875,1813.9398374202,21.6220000183,0.23485419217286035,0.5318633490029572,HOLD,HOLD,-0.08151019693153858,0.37686137291505795,-0.08345155256543428,0.7638439881398029,0.8394715188168286,0.805550493454657,HOLD,HOLD
2022-05-18,1815.9000244140625,21.53300094604492,1816.8898443307,21.3729999798,-0.05447880727200443,0.7486125784688094,HOLD,HOLD,-0.07679248316178663,0.3765647062683167,-0.07110667635648749,0.7757019899532769,0.059255887549596487,1.0567450714863724,HOLD,HOLD
2022-05-19,1841.199951171875,21.89800071716309,1844.0899406922,21.923000018,-0.15671629981562063,-0.11403229857402934,HOLD,HOLD,-0.06603363163355766,0.3707181388408812,-0.0697309407702107,0.7755948780591675,-0.24461351814507676,-0.057119198510796554,HOLD,HOLD
2022-05-20,1841.800048828125,21.66900062561035,1846.6449969032,21.7575000082,-0.2623648878479619,-0.40675345309109784,HOLD,HOLD,-0.07777999252607684,0.3731447866921494,-0.11992802316238996,0.7625376256957208,-0.4946736545837652,-0.3761459372801641,HOLD,HOLD
2022-05-23,1847.800048828125,21.722999572753903,1854.3899622613,21.7368999926,-0.3553682648896097,-0.06394849242914577,HOLD,HOLD,-0.08080771119421186,0.37523829613969895,-0.12333655588326112,0.7621057068175496,-0.7316965153076502,0.07792628099074585,HOLD,HOLD
2022-05-24,1865.0999755859373,22.0629997253418,1866.6498917063,22.1119999953,-0.08303196690761978,-0.22160035260769942,HOLD,HOLD,-0.08777474457587305,0.37384946623780585,-0.10401882689752373,0.7540289806246275,0.012686329917711795,-0.15593767445486342,HOLD,HOLD
2022-05-25,1846.199951171875,21.86000061035156,1853.2599862451,21.9770000234,-0.38095222071509544,-0.5323720841054953,HOLD,HOLD,-0.10992653037975145,0.37760927682010714,-0.16065719269654127,0.7407593410595047,-0.7177410804567189,-0.5018025029252982,HOLD,HOLD
2022-05-26,1847.4000244140625,21.94099998474121,1852.1680924039,22.0090000083,-0.2574317098643563,-0.308964621441884,HOLD,HOLD,-0.10867512717425058,0.3770484605529284,-0.17049102486415496,0.7413886349763092,-0.3945290811477108,-0.1867759904117682,HOLD,HOLD
2022-05-27,1851.300048828125,22.059999465942383,1852.8901565952,22.1154999945,-0.0858177027610216,-0.2509576024571837,HOLD,HOLD,-0.1454914438131475,0.33231238883982017,-0.249002168045648,0.6532230271031659,0.17957121990083125,-0.002993517268072124,HOLD,HOLD
2022-05-31,1842.699951171875,21.650999069213867,1837.7650424744,21.5522000049,0.2685277270717162,0.45841753645290695,HOLD,HOLD,-0.1304545429487829,0.3442960811263153,-0.21236825292561384,0.6720068102107554,1.1588347701062578,0.9981830231276202,HOLD,HOLD
2022-06-01,1843.300048828125,21.88400077819824,1846.9198916966,21.8200000034,-0.19599349623928386,0.2933124417427381,HOLD,HOLD,-0.14010727639713158,0.3432374986793334,-0.2067815226876854,0.6759073869342364,-0.16282084579098827,0.7398853365085074,HOLD,HOLD
2022-06-02,1866.5,22.253999710083008,1869.1798412692,22.3639999929,-0.14336989999744731,-0.49186318570878595,HOLD,HOLD,-0.09365236189693472,0.2641750037345311,-0.10206028900227486,0.38933516415450725,-0.18819925200218274,-1.0012013622068265,HOLD,HOLD
2022-06-03,1845.4000244140625,21.88999938964844,1851.1600664789,21.914999977,-0.31115850915008864,-0.11407979638511567,HOLD,HOLD,-0.1016174993544253,0.26839019509234674,-0.08393854128304208,0.3792940742671475,-0.780732730283106,-0.07946671763936985,HOLD,HOLD
2022-06-06,1839.199951171875,22.073999404907227,1839.4498720479,22.0329999786,-0.013586718497895328,0.18608190599123411,HOLD,HOLD,-0.12193558599036577,0.24319167311969853,-0.051383781936365204,0.3727502859843374,0.4455286897884095,0.6370637310190485,HOLD,HOLD
2022-06-07,1847.5,22.15900039672852,1851.7218884082,22.2289999925,-0.2279979749998621,-0.3149021359264872,HOLD,HOLD,-0.14008909006995224,0.23645483486938051,-0.06414645375353663,0.37738913579559685,-0.3717787584190081,-0.6644485979818082,HOLD,HOLD
2022-06-08,1851.9000244140625,22.073999404907227,1854.0299937556,22.0640000034,-0.11488321918799357,0.045319985069277306,HOLD,HOLD,-0.14991330177960527,0.2307727773160884,-0.08135747423055902,0.3631916557156443,0.15179469172670723,0.3487895641496142,HOLD,HOLD
2022-06-09,1848.800048828125,21.79700088500977,1846.4898504916,21.6457000175,0.1251129723734975,0.6989881010429095,HOLD,HOLD,-0.14160742509646998,0.23778185560268444,-0.04360203949422299,0.403018104367697,1.1217020608823791,1.8425726598615135,HOLD,HOLD
2022-06-10,1871.5,21.913000106811523,1871.2200186112,21.8800000108,0.014962504997558957,0.15082310783928082,HOLD,HOLD,-0.14937261063833635,0.22945094868484564,-0.029000957676508808,0.4045829879060027,0.7162102252260115,0.44446768868484504,HOLD,HOLD
2022-06-13,1828.0,21.23600006103516,1820.7199017248,21.0899999953,0.39984724000125027,0.6922715304300394,HOLD,HOLD,-0.11820104032647585,0.2592508206994413,0.03357223035080202,0.4149117615441815,1.9982512646635666,1.587564781551984,HOLD,HOLD
2022-06-14,1809.5,20.93600082397461,1809.6599648926,21.0690000185,-0.008839500000188962,-0.6312553723888519,HOLD,HOLD,-0.08043432707645828,0.21065829971267458,0.017748057046218835,0.43447049697535767,0.3398623608655364,-1.4937802082148768,HOLD,HOLD
2022-06-15,1815.300048828125,21.402000427246094,1833.3499557063,21.6776999801,-0.9845314486737657,-1.2718118301618642,HOLD,BUY,-0.1414036091187896,0.2797368268262743,-0.07243570191202223,0.5038021543472601,-3.0140037302939238,-2.38064906610768,BUY,BUY
2022-06-16,1845.699951171875,21.867000579833984,1851.484983531,21.86145,-0.3124536472389941,0.025389806412580103,HOLD,HOLD,-0.15430235111713908,0.28146008381444443,-0.10859684051483369,0.46633016292590274,-0.5618960030798469,0.2873214249894093,HOLD,HOLD
2022-06-17,1835.5999755859373,21.572999954223636,1839.4200970625,21.6695000188,-0.2076807512684738,-0.4453266780158429,HOLD,HOLD,-0.15685057368978175,0.2817136801906513,-0.12516155948692437,0.47237820692646254,-0.18043205265818982,-0.6777728392934949,HOLD,HOLD
2022-06-21,1834.5999755859373,21.753999710083008,1830.8600245262,21.612800001,0.20427291052493585,0.6533152070831848,HOLD,HOLD,-0.13351868377113685,0.2916629916386233,-0.07215812647821024,0.49790228593960617,1.1581572019072057,1.4570596561779843,HOLD,HOLD
2022-06-22,1834.300048828125,21.40699958801269,1837.3500561586,21.3729999798,-0.1660003394699697,0.1590773791457725,HOLD,HOLD,-0.12405028750015483,0.2871203235666969,-0.06100683289946433,0.5005861025119609,-0.1461061740551781,0.4396530605640978,HOLD,HOLD
2022-06-23,1825.699951171875,21.03199958801269,1823.9750947145,21.0369999808,0.0945657899810804,-0.023769514626006485,HOLD,HOLD,-0.11517039965571982,0.29117339403128895,-0.05111529100037968,0.4991984080720276,0.7203137166243367,0.05477937415703371,HOLD,HOLD
2022-06-24,1826.5,21.11599922180176,1827.2299285644,21.1475000209,-0.039947274997492,-0.14895755558390975,HOLD,HOLD,-0.09812015236983966,0.284703103514948,-0.03194456457430041,0.48695599253267813,0.2043282164969212,-0.24029479625257297,HOLD,HOLD
2022-06-27,1820.9000244140625,21.15900039672852,1822.8499712445,21.152999981,-0.10697242566299844,0.028366736320655152,HOLD,HOLD,-0.09059718815977177,0.28224919714125984,-0.015077996686173448,0.4826791651794593,-0.05801694980564003,0.09000747523601091,HOLD,HOLD
2022-06-28,1817.5,20.79700088500977,1818.6199402583,20.8127000128,-0.06158187499807587,-0.07543051973351035,HOLD,HOLD,-0.08938539677162448,0.2823228137956765,-0.006301642549989781,0.47975142161274104,0.0984813143498586,-0.14409311587058082,HOLD,HOLD
2022-06-29,1813.699951171875,20.667999267578125,1818.4198658734,20.7255499811,-0.2595613251980232,-0.27768003056302537,HOLD,HOLD,-0.11578984938511146,0.27157739932328556,-0.04310652090078639,0.47036701442868617,-0.5293941107439736,-0.49870314555784695,HOLD,HOLD
2022-06-30,1804.0999755859373,20.28199958801269,1805.7999404808,20.250550011,-0.09413915997859867,0.15530233497661594,HOLD,HOLD,-0.11069713257207718,0.27094850984265006,-0.0500070262390925,0.4661654017041883,0.06111114101751045,0.440421705397155,HOLD,HOLD
2022-07-01,1798.9000244140625,19.597000122070312,1810.5200266146,19.85300001,-0.6418046765417563,-1.2894770956567703,HOLD,BUY,-0.13561887139929266,0.29588712792300176,-0.0898877217364917,0.5349930271571351,-1.7107395265744296,-2.242252352885231,HOLD,BUY
2022-07-05,1761.800048828125,19.052000045776367,1767.7501560923,19.209599993,-0.33659209383569866,-0.8204228473318738,HOLD,HOLD,-0.13689055063357314,0.2967347198472088,-0.1252048742838296,0.5594303273020438,-0.6729968886180678,-1.242724856195876,HOLD,HOLD
2022-07-06,1734.9000244140625,19.084999084472656,1739.6550542372,19.1908500115,-0.2733317626132725,-0.551569768738297,HOLD,HOLD,-0.149877802839342,0.2967381780736796,-0.16208745802030616,0.5621371154605457,-0.4160366575522922,-0.6928599802539228,HOLD,HOLD
2022-07-07,1737.9000244140625,19.121999740600582,1739.879944804,19.2269999993,-0.11379637979334685,-0.5461083824998121,HOLD,HOLD,-0.14416772307901624,0.29625419275527365,-0.17364777034897244,0.5677940473177313,0.1025178513195194,-0.6559783673505383,HOLD,HOLD
2022-07-08,1740.5999755859375,19.16699981689453,1742.4301429263,19.3130000108,-0.10503533514915558,-0.7559684866350328,HOLD,HOLD,-0.14367532887707432,0.29631360523966616,-0.2137121939341879,0.5796759031507105,0.13040236102782288,-0.9354473590389408,HOLD,HOLD
2022-07-11,1730.0,19.066999435424805,1733.9400736439,19.0910000179,-0.22723239999983555,-0.12571673800582894,HOLD,HOLD,-0.161292597495741,0.28989658505697713,-0.2549474358866249,0.539257450936177,-0.22745974220818962,0.2396456417179683,HOLD,HOLD
2022-07-12,1723.300048828125,18.89900016784668,1726.0601072815,18.9176000043,-0.15990511812024993,-0.09832027555869303,HOLD,HOLD,-0.17003597865163145,0.28692266518951137,-0.2674046050565235,0.5322223556557674,0.03530867986567083,0.31769490270564926,HOLD,HOLD
2022-07-13,1734.199951171875,19.13800048828125,1732.4489066168,19.1539999988,0.10107337355734519,-0.08353091009581386,HOLD,HOLD,-0.18497467197382672,0.26242169829444834,-0.3061947270828162,0.48475114943407577,1.0900319881712441,0.4593363362767719,HOLD,HOLD
2022-07-14,1704.5,18.16900062561035,1711.0179632932,18.4378000153,-0.38094067000061277,-1.4578712724218341,HOLD,BUY,-0.2035797304738479,0.26246743321989635,-0.34752552208446535,0.545373826901925,-0.6757445575282901,-2.035935161474192,HOLD,BUY
2022-07-15,1702.4000244140625,18.54800033569336,1707.21996983,18.6970000114,-0.28232714595164543,-0.7969175569117619,HOLD,HOLD,-0.16846951533774185,0.1892582392931791,-0.3237808084219602,0.512352233046756,-0.6015993334775097,-0.9234599128733072,HOLD,HOLD
2022-07-18,1709.199951171875,18.791000366210938,1708.4998551192,18.7029999922,0.04097723804759485,0.4705147518988339,HOLD,HOLD,-0.15079797107341242,0.19159246556954224,-0.3015245611476475,0.5373751953748319,1.000953813872178,1.436685801077896,HOLD,HOLD
2022-07-19,1710.0,18.670000076293945,1710.4499081916,18.7802000171,-0.026303499999924648,-0.5867878973904126,HOLD,HOLD,-0.14172910850998494,0.19304541621060242,-0.308597622116376,0.5402906366917067,0.5979194470182965,-0.5148900543186236,HOLD,HOLD
2022-07-20,1699.5,18.638999938964844,1695.5049451097,18.6970000114,0.2356262600013557,-0.31021058137558094,HOLD,HOLD,-0.14016144103616396,0.19610612688306892,-0.3567739115393143,0.4906854863215381,1.9162466110076637,0.09489445166352688,HOLD,HOLD
2022-07-21,1712.699951171875,18.687000274658203,1718.1900311302,18.7985000008,-0.3195269358368729,-0.5931309739450091,HOLD,HOLD,-0.14783777085450914,0.20013422578540135,-0.3943843291938534,0.4777217820452933,-0.8578700834831796,-0.4160301083619259,HOLD,HOLD
2022-07-22,1727.0999755859375,18.584999084472656,1727.659974403,18.5830000144,-0.032413717129494084,0.010757520696914206,HOLD,HOLD,-0.15418674621003786,0.19395841854905502,-0.3926579774277073,0.47919169286564595,0.6278305937504102,0.8418666352751856,HOLD,HOLD
2022-07-25,1719.0,18.29400062561035,1718.9150964234,18.4015499861,0.004939370000105795,-0.5844581601598182,HOLD,HOLD,-0.15194241396015798,0.19560260706571733,-0.4144330076565027,0.4774263937413949,0.8020434201449862,-0.35612851474527435,HOLD,HOLD
2022-07-26,1717.699951171875,18.48699951171875,1718.1498824614,18.6619999922,-0.026186963903314733,-0.9377370086506907,HOLD,HOLD,-0.14790314087217377,0.19740594519351676,-0.46273819490507007,0.47913798195384516,0.6165780713926363,-0.9913612187634432,HOLD,HOLD
2022-07-27,1719.0999755859375,18.55299949645996,1738.1449821493,19.1440000079,-1.0957087446072755,-3.08713179688757,BUY,BUY,-0.19960948435263376,0.2881726656349898,-0.613323258762773,0.7485357011843917,-3.109591460661555,-3.30486379502079,BUY,BUY
2022-07-28,1750.300048828125,19.82699966430664,1755.1588506518,19.9350000187,-0.27682974802370264,-0.5417624995838891,HOLD,HOLD,-0.20047290549391775,0.288387536699059,-0.6265273822138162,0.744622327835085,-0.2647716451403569,0.11383607429067098,HOLD,HOLD
