date,asset,signal,holding_days,today_price,future_price,forward_return_pct
2024-08-05,silver,BUY,5,27.076000213623047,27.91699981689453,3.1060703081555707
2024-08-05,silver,BUY,10,27.076000213623047,29.239999771118164,7.992316222564957
2024-08-05,silver,BUY,20,27.076000213623047,27.951000213623047,3.2316442351029067
2024-08-08,silver,SELL,5,27.5,28.34199905395508,-3.0618147416548425
2024-08-08,silver,SELL,10,27.5,29.006000518798828,-5.476365522904829
2024-08-08,silver,SELL,20,27.5,27.808000564575195,-1.1200020530007102
2024-10-08,silver,BUY,5,30.354999542236328,31.527000427246097,3.860981395763266
2024-10-08,silver,BUY,10,30.354999542236328,34.83100128173828,14.745517400762889
2024-10-08,silver,BUY,20,30.354999542236328,32.654998779296875,7.577003036551851
2024-11-06,silver,BUY,5,31.22100067138672,30.59000015258789,-2.0210771763543267
2024-11-06,silver,BUY,10,31.22100067138672,30.95599937438965,-0.84879181095543
2024-11-06,silver,BUY,20,31.22100067138672,31.13400077819824,-0.2786582470696187
2024-12-09,silver,SELL,5,32.215999603271484,30.69700050354004,4.715045686731364
2024-12-09,silver,SELL,10,32.215999603271484,29.88800048828125,7.22622033666101
2024-12-09,silver,SELL,20,32.215999603271484,30.45199966430664,5.475539982269283
2025-01-15,silver,SELL,5,31.319000244140625,30.67300033569336,2.0626453699400056
2025-01-15,silver,SELL,10,31.319000244140625,32.36399841308594,-3.336626842489386
2025-01-15,silver,SELL,20,31.319000244140625,32.650001525878906,-4.249820464774555
2025-04-03,silver,BUY,5,31.8439998626709,30.67099952697754,-3.6835835345810564
2025-04-03,silver,BUY,10,31.8439998626709,32.41999816894531,1.8088126766688866
2025-04-03,silver,BUY,20,31.8439998626709,31.98900032043457,0.45534624541199215
2025-04-04,silver,BUY,5,29.11599922180176,31.823999404907227,9.300728999462752
2025-04-04,silver,BUY,10,29.11599922180176,32.49599838256836,11.608734891831189
2025-04-04,silver,BUY,20,29.11599922180176,32.20500183105469,10.609296235108815
2025-06-02,silver,SELL,5,34.5629997253418,36.6879997253418,-6.148193203386619
2025-06-02,silver,SELL,10,34.5629997253418,36.37900161743164,-5.254179054251302
2025-06-02,silver,SELL,20,34.5629997253418,36.082000732421875,-4.394876078902196
2025-07-11,silver,SELL,5,38.67599868774414,38.222999572753906,1.1712667555079403
2025-07-11,silver,SELL,10,38.67599868774414,38.16699981689453,1.3160587654350697
2025-07-11,silver,SELL,20,38.67599868774414,38.41699981689453,0.6696630459129743
2025-08-22,silver,SELL,5,39.00299835205078,40.20000076293945,-3.0690010036772812
2025-08-22,silver,SELL,10,39.00299835205078,41.42599868774414,-6.212343763478784
2025-08-22,silver,SELL,20,39.00299835205078,43.79899978637695,-12.296494210614958
2025-08-29,silver,SELL,5,40.20000076293945,41.42599868774414,-3.0497460237238103
2025-08-29,silver,SELL,10,40.20000076293945,42.516998291015625,-5.763675333589101
2025-08-29,silver,SELL,20,40.20000076293945,46.61199951171875,-15.950245341016375
2025-09-17,silver,BUY,5,41.72200012207031,43.777000427246094,4.9254597075002575
2025-09-17,silver,BUY,10,41.72200012207031,47.290000915527344,13.345479068995166
2025-09-17,silver,BUY,20,41.72200012207031,51.073001861572266,22.412640123059234
2025-10-07,silver,BUY,5,47.17900085449219,50.31399917602539,6.6449018943874085
2025-10-07,silver,BUY,10,47.17900085449219,47.45000076293945,0.5744079008435851
2025-10-07,silver,BUY,20,47.17900085449219,47.130001068115234,-0.10385931344344602
2025-10-09,silver,BUY,5,46.849998474121094,53.02299880981445,13.176095062421803
2025-10-09,silver,BUY,10,46.849998474121094,48.48199844360352,3.483457892498993
2025-10-09,silver,BUY,20,46.849998474121094,47.79399871826172,2.014941888764564
2025-10-10,silver,BUY,5,46.9379997253418,49.86399841308594,6.2337524071448565
2025-10-10,silver,BUY,10,46.9379997253418,48.37699890136719,3.0657445661206477
2025-10-10,silver,BUY,20,46.9379997253418,48.016998291015625,2.2987740678929645
2025-10-17,silver,BUY,5,49.86399841308594,48.37699890136719,-2.982110458531767
2025-10-17,silver,BUY,10,49.86399841308594,47.99399948120117,-3.750198522776339
2025-10-17,silver,BUY,20,49.86399841308594,50.59000015258789,1.4559637466044573
2025-10-21,silver,BUY,5,47.45000076293945,47.125,-0.6849331037172355
2025-10-21,silver,BUY,10,47.45000076293945,47.130001068115234,-0.674393445055859
2025-10-21,silver,BUY,20,47.45000076293945,50.45000076293945,6.322444576951688
2025-11-28,silver,SELL,5,56.44599914550781,58.422000885009766,-3.5006940605447867
2025-11-28,silver,SELL,10,56.44599914550781,61.36199951171875,-8.709209581955237
2025-11-28,silver,SELL,20,56.44599914550781,69.85600280761719,-23.757226136684647
2025-12-29,silver,BUY,5,69.85600280761719,80.52999877929688,15.279998200120007
2025-12-29,silver,BUY,10,69.85600280761719,85.87699890136719,22.934315520273444
2025-12-29,silver,BUY,20,69.85600280761719,113.11100006103516,61.92022949343644
2026-01-30,silver,BUY,5,78.29000091552734,76.73500061035156,-1.9862055013303446
2026-01-30,silver,BUY,10,78.29000091552734,77.85099792480469,-0.5607395396461009
2026-01-30,silver,BUY,20,78.29000091552734,88.28399658203125,12.76535387614459
